Accession,ID_x,Organism Name,planetary_analog,Environment,Geographic location,latitude,longitude,Assembly level,Sequencing platform,CheckM2 completeness(%)(NN_model),CheckM2 contamination(%),pass.GUNC,Number_of_contigs,Size (bp),GC (%),N50,GTDB_r220_classification
GCA_013349685.1,GCA_013349685.1_Rhodospirillaceae_bacterium_MAG_05596_2-02_51,Rhodospirillaceae_bacterium_MAG_05596_2-02_51,Europa_ocean_analog,marine oxygen minimum zone (OMZ),Pacific Ocean: Eastern Tropical North Pacific,19.0,-107.0,Contig,Illumina HiSeq,77.8,0.77,True,329,1831947,61.19,6777,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__JADFTO01;g__GCA-2686765;s__GCA-2686765 sp013349695
GCA_013349695.1,GCA_013349695.1_Rhodospirillaceae_bacterium_MAG_05422_2-02_14,Rhodospirillaceae_bacterium_MAG_05422_2-02_14,Europa_ocean_analog,marine oxygen minimum zone (OMZ),Pacific Ocean: Eastern Tropical North Pacific,20.3333,-106.0,Contig,Illumina HiSeq,86.9,0.55,True,255,2281835,61.09,11800,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__JADFTO01;g__GCA-2686765;s__GCA-2686765 sp013349695
GCA_013349725.1,GCA_013349725.1_Deltaproteobacteria_bacterium_MAG_00792_naph_016,Deltaproteobacteria_bacterium_MAG_00792_naph_016,Europa_ocean_analog,marine,"Sweden:KBA site, Vaertahamnen, Baltic Sea",59.363333,18.119167,Contig,Illumina GAIIx,79.61,9.68,True,409,3032840,49.74,11269,d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__DUZB01;s__DUZB01 sp013349725
GCA_013349735.1,GCA_013349735.1_Rhodospirillaceae_bacterium_MAG_04806_tlms_2,Rhodospirillaceae_bacterium_MAG_04806_tlms_2,Mars_lake_analog,bog/peatland (freshwater),"USA:Crystal Bog, Wisconsin, USA",46.0072,-89.6063,Contig,Illumina HiSeq,74.78,1.73,True,309,2085124,57.51,8435,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__Telmatospirillum;s__Telmatospirillum sp013349735
GCA_013349775.1,GCA_013349775.1_Gammaproteobacteria_bacterium_MAG_00215_gam_020,Gammaproteobacteria_bacterium_MAG_00215_gam_020,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,93.79,7.18,True,507,2931288,49.02,8779,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_013349805.1,GCA_013349805.1_Gammaproteobacteria_bacterium_MAG_00212_gam_1,Gammaproteobacteria_bacterium_MAG_00212_gam_1,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,75.91,5.27,True,955,2103212,48.4,2865,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_013349825.1,GCA_013349825.1_Gammaproteobacteria_bacterium_MAG_00172_gam_018,Gammaproteobacteria_bacterium_MAG_00172_gam_018,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,99.45,1.55,True,274,2866084,48.98,18846,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_013349835.1,GCA_013349835.1_Gammaproteobacteria_bacterium_MAG_00188_gam_006,Gammaproteobacteria_bacterium_MAG_00188_gam_006,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,99.75,2.54,True,565,2663040,48.83,6818,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_013349845.1,GCA_013349845.1_Gammaproteobacteria_bacterium_MAG_00160_gam_009,Gammaproteobacteria_bacterium_MAG_00160_gam_009,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,99.99,2.98,True,318,2903803,49.11,15372,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_013349855.1,GCA_013349855.1_Gammaproteobacteria_bacterium_MAG_00150_gam_010,Gammaproteobacteria_bacterium_MAG_00150_gam_010,Europa_ocean_analog,marine,"Canada: Saanich Inlet 48, Vancouver Island, BC",48.6,-123.5,Contig,Illumina HiSeq,99.91,4.84,True,486,2847655,49.09,8863,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCF-002020875;f__GCF-002020875;g__Thiopontia;s__Thiopontia sp013349825
GCA_015228675.1,GCA_015228675.1_Desulfobacterales_bacterium_nYD0425bin6,Desulfobacterales_bacterium_nYD0425bin6,Mars_lake_analog,freshwater,"China: Yuandadu Park, Beijing",39.974732,116.368688,Scaffold,Illumina HiSeq,95.9,2.48,True,467,5417822,36.82,18177,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin50;g__YD0425bin50;s__YD0425bin50 sp002753105
GCA_015228685.1,GCA_015228685.1_Desulfobacterales_bacterium_nYD0425bin5,Desulfobacterales_bacterium_nYD0425bin5,Mars_lake_analog,freshwater,"China: Yuandadu Park, Beijing",39.974732,116.368688,Scaffold,Illumina HiSeq,99.99,1.79,True,133,5628840,32.38,103346,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin51;g__YD0425bin51;s__YD0425bin51 sp002753225
GCA_015228695.1,GCA_015228695.1_Alphaproteobacteria_bacterium_nYQH56bin3,Alphaproteobacteria_bacterium_nYQH56bin3,Mars_lake_analog,freshwater,"China: Yanqi Lake, Beijing",40.39833,116.67777,Contig,Illumina HiSeq,80.14,0.83,True,436,2796001,65.57,8577,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__JADGDA01;s__JADGDA01 sp015228695
GCA_015228775.1,GCA_015228775.1_Magnetococcales_bacterium_nYD0423bin3,Magnetococcales_bacterium_nYD0423bin3,Mars_lake_analog,freshwater,"China: Yuandadu Park, Beijing",39.974732,116.368688,Scaffold,Illumina HiSeq,99.38,1.7,True,146,4504422,55.48,60044,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus sp002753095
GCA_015228785.1,GCA_015228785.1_Candidatus_Omnitrophica_bacterium_nXXbin4,Candidatus_Omnitrophota_bacterium_nXXbin4,Mars_lake_analog,freshwater,"China: Aiken creek, Qinghai",38.170074,90.57854,Scaffold,Illumina HiSeq,86.13,0.63,True,123,2023619,46.42,29252,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__Fredricksoniimonadaceae;g__JAAYZZ01;s__JAAYZZ01 sp015228785
GCA_015228815.1,GCA_015228815.1_Magnetococcales_bacterium_nYD0423bin2,Magnetococcales_bacterium_nYD0423bin2,Mars_lake_analog,freshwater,"China: Yuandadu Park, Beijing",39.974732,116.368688,Scaffold,Illumina HiSeq,99.99,0.8,True,97,4218176,56.86,82296,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228815
GCA_015228825.1,GCA_015228825.1_Magnetococcales_bacterium_nYD0425bin13,Magnetococcales_bacterium_nYD0425bin13,Mars_lake_analog,freshwater,"China: Yuandadu Park, Beijing",39.974732,116.368688,Scaffold,Illumina HiSeq,95.52,1.35,True,231,4219362,55.36,32122,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus sp002753095
GCA_015228835.1,GCA_015228835.1_Desulfamplus_sp._nXXbin12,Desulfamplus_sp._nXXbin12,Mars_lake_analog,freshwater,"China: Aiken creek, Qinghai",38.170074,90.57854,Scaffold,Illumina HiSeq,71.55,4.07,True,369,2585509,37.76,9633,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232465
GCA_015228875.1,GCA_015228875.1_Deltaproteobacteria_bacterium_nXXbin1,Deltaproteobacteria_bacterium_nXXbin1,Mars_lake_analog,freshwater,"China: Aiken creek, Qinghai",38.170074,90.57854,Scaffold,Illumina HiSeq,96.7,4.37,True,228,4584649,47.04,34535,d__Bacteria;p__UBA10199;c__UBA10199;o__UBA10199;f__JADGCS01;g__JADGCS01;s__JADGCS01 sp015228875
GCA_015228895.1,GCA_015228895.1_Magnetococcales_bacterium_nWRX3bin7,Magnetococcales_bacterium_nWRX3bin7,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Contig,Illumina HiSeq,74.38,6.89,True,501,2890396,61.11,7739,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__WMHbin3;s__WMHbin3 sp015228895
GCA_015228915.1,GCA_015228915.1_Alphaproteobacteria_bacterium_nWRX3bin4,Alphaproteobacteria_bacterium_nWRX3bin4,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Scaffold,Illumina HiSeq,77.03,1.0,True,411,2589846,66.09,8279,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__JADGDA01;s__JADGDA01 sp015228695
GCA_015228925.1,GCA_015228925.1_Magnetococcales_bacterium_nWRX3bin6,Magnetococcales_bacterium_nWRX3bin6,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Scaffold,Illumina HiSeq,99.81,0.96,True,219,4250176,52.02,32202,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228925
GCA_015228935.1,GCA_015228935.1_Magnetococcales_bacterium_nWRX3bin2,Magnetococcales_bacterium_nWRX3bin2,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Scaffold,Illumina HiSeq,99.99,1.78,True,197,4705593,54.61,41621,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__HA3dbin3;s__HA3dbin3 sp015228935
GCA_015228975.1,GCA_015228975.1_Magnetococcales_bacterium_nWRX3bin12,Magnetococcales_bacterium_nWRX3bin12,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Scaffold,Illumina HiSeq,77.46,1.89,True,234,3749591,52.93,22708,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp015228975
GCA_015229005.1,GCA_015229005.1_Magnetococcales_bacterium_nWRX3bin10,Magnetococcales_bacterium_nWRX3bin10,Mars_lake_analog,freshwater,China: Innermogolia,48.455,117.63305,Scaffold,Illumina HiSeq,76.47,0.87,True,173,3279066,62.87,36559,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGCL01;g__JADGCL01;s__JADGCL01 sp015229005
GCA_015229035.1,GCA_015229035.1_Magnetococcales_bacterium_nWRX2bin6,Magnetococcales_bacterium_nWRX2bin6,Mars_lake_analog,freshwater,China: Innermogolia,48.23111,117.62277,Scaffold,Illumina HiSeq,100.0,0.48,True,210,4720370,54.25,37239,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_015229045.1,GCA_015229045.1_Magnetococcales_bacterium_nWRX1bin6,Magnetococcales_bacterium_nWRX1bin6,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,87.09,7.46,True,283,4081011,57.46,24368,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__HA3dbin3;s__HA3dbin3 sp015229045
GCA_015229055.1,GCA_015229055.1_Magnetococcales_bacterium_nWRX1bin5,Magnetococcales_bacterium_nWRX1bin5,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,99.34,0.72,True,173,4550986,54.4,42614,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_015229095.1,GCA_015229095.1_Magnetococcales_bacterium_nWRX1bin1,Magnetococcales_bacterium_nWRX1bin1,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,72.69,0.39,True,200,2629331,59.27,17832,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__HCHbin5;s__HCHbin5 sp015229095
GCA_015229105.1,GCA_015229105.1_Magnetococcales_bacterium_nWRX1bin12,Magnetococcales_bacterium_nWRX1bin12,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,70.33,1.2,True,199,2774909,62.96,27522,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGCL01;g__JADGCL01;s__JADGCL01 sp015229005
GCA_015229115.1,GCA_015229115.1_Magnetococcales_bacterium_nWRX1bin3,Magnetococcales_bacterium_nWRX1bin3,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,93.02,5.43,True,184,3146079,54.88,35126,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGCH01;g__JADGCH01;s__JADGCH01 sp015229115
GCA_015229135.1,GCA_015229135.1_Magnetococcales_bacterium_nWRX1bin11,Magnetococcales_bacterium_nWRX1bin11,Mars_lake_analog,freshwater,China: Innermogolia,48.23222,117.62305,Scaffold,Illumina HiSeq,81.97,4.53,True,254,3564413,60.94,22436,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015231775
GCA_015229165.1,GCA_015229165.1_Nitrospinae_bacterium_nWMHbin6,Nitrospinota_bacterium_nWMHbin6,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,74.41,0.95,True,346,2310852,63.95,9145,d__Bacteria;p__Nitrospinota;c__UBA7883;o__UBA7883;f__JADGGD01;g__JADGCD01;s__JADGCD01 sp015229165
GCA_015229215.1,GCA_015229215.1_Alphaproteobacteria_bacterium_nWMHbin5,Alphaproteobacteria_bacterium_nWMHbin5,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,99.82,0.34,True,80,3563391,59.35,105961,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__WMHbin7;g__WMHbin7;s__WMHbin7 sp002753155
GCA_015231175.1,GCA_015231175.1_Magnetococcales_bacterium_nWMHbin2,Magnetococcales_bacterium_nWMHbin2,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,99.81,0.2,True,175,3812214,57.17,39732,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__DC0425bin3;g__HA3dbin3;s__HA3dbin3 sp015231175
GCA_015231205.1,GCA_015231205.1_Magnetococcales_bacterium_nWMHbin4,Magnetococcales_bacterium_nWMHbin4,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,99.92,0.23,True,207,4156077,54.29,31156,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__UBA8363;s__UBA8363 sp002753735
GCA_015231215.1,GCA_015231215.1_Magnetococcales_bacterium_nWMHbin1,Magnetococcales_bacterium_nWMHbin1,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,99.84,1.55,True,116,4373155,54.97,83117,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__Magnetaquicoccus;s__Magnetaquicoccus sp002753135
GCA_015231235.1,GCA_015231235.1_Magnetococcales_bacterium_nWMHbin3,Magnetococcales_bacterium_nWMHbin3,Mars_lake_analog,freshwater,"China: Lake Weiming, Beijing",39.993142,116.30256,Scaffold,Illumina HiSeq,99.99,3.01,True,167,4974826,61.57,59272,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__WMHbin3;s__WMHbin3 sp002753185
GCA_015231265.1,GCA_015231265.1_Magnetococcales_bacterium_nwalbin5,Magnetococcales_bacterium_nwalbin5,Europa_ocean_analog,hypersaline,Australia: Wallaga Lake,-36.36013,150.07384,Contig,Illumina HiSeq,79.79,1.6,True,459,3818756,55.87,12313,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__JADGBX01;g__JADGBX01;s__JADGBX01 sp015231265
GCA_015231295.1,GCA_015231295.1_Magnetococcales_bacterium_nW5bin3,Magnetococcales_bacterium_nW5bin3,Mars_lake_analog,freshwater,China: Innermogolia,41.564702,109.081861,Scaffold,Illumina HiSeq,80.99,0.91,True,353,3790407,59.17,16624,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015231295
GCA_015231305.1,GCA_015231305.1_Magnetococcales_bacterium_nwagbin5,Magnetococcales_bacterium_nwagbin5,Europa_ocean_analog,hypersaline,Australia: Waganaga Inlet,-36.21831,150.12168,Scaffold,Illumina HiSeq,82.65,1.35,True,238,3957690,38.49,22682,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__UBA8363;g__GCA-2753565;s__GCA-2753565 sp015231305
GCA_015231325.1,GCA_015231325.1_Oligoflexia_bacterium_nW3bin19,Oligoflexia_bacterium_nW3bin19,Mars_lake_analog,freshwater,China: Innermogolia,41.564702,109.081861,Scaffold,Illumina HiSeq,75.4,3.18,True,470,4367188,38.41,14912,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__JADGAN01;s__JADGAN01 sp015231325
GCA_015231345.1,GCA_015231345.1_Planctomycetota_bacterium_nwagbin3,Planctomycetota_bacterium_nwagbin3,Europa_ocean_analog,hypersaline,Australia: Waganaga Inlet,-36.21831,150.12168,Scaffold,Illumina HiSeq,76.51,0.69,True,588,4144283,41.73,9132,d__Bacteria;p__Planctomycetota;c__JADGBV01;o__JADGBV01;f__JADGBV01;g__JADGBV01;s__JADGBV01 sp015231345
GCA_015231375.1,GCA_015231375.1_Magnetococcales_bacterium_nW5bin1,Magnetococcales_bacterium_nW5bin1,Mars_lake_analog,freshwater,China: Innermogolia,41.564702,109.081861,Scaffold,Illumina HiSeq,93.83,1.93,True,114,4103345,59.91,70955,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015231375
GCA_015231405.1,GCA_015231405.1_Candidatus_Omnitrophica_bacterium_nW3bin14,Candidatus_Omnitrophota_bacterium_nW3bin14,Mars_lake_analog,freshwater,China: Innermogolia,41.564702,109.081861,Scaffold,Illumina HiSeq,99.64,1.38,True,93,3659045,49.49,72303,d__Bacteria;p__Omnitrophota;c__Koll11;o__Tantalellales;f__Tantalellaceae;g__JADGBR01;s__JADGBR01 sp015231405
GCA_015231415.1,GCA_015231415.1_Desulfamplus_sp._nTSbin4,Desulfamplus_sp._nTSbin4,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,91.2,0.31,True,196,3232689,37.6,26935,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232465
GCA_015231435.1,GCA_015231435.1_Gammaproteobacteria_bacterium_nTSbin2,Gammaproteobacteria_bacterium_nTSbin2,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,93.02,0.9,True,223,2871643,52.9,19518,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__BW-2;f__BW-2;g__JADFYS01;s__JADFYS01 sp015231435
GCA_015231465.1,GCA_015231465.1_Desulfamplus_sp._nTSbin20,Desulfamplus_sp._nTSbin20,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,74.28,3.69,True,402,3629071,47.21,12968,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015231465
GCA_015231505.1,GCA_015231505.1_Alphaproteobacteria_bacterium_nTSbin12,Alphaproteobacteria_bacterium_nTSbin12,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,77.48,0.46,True,329,2394161,63.33,10152,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae;g__JADGBG01;s__JADGBG01 sp015231605
GCA_015231515.1,GCA_015231515.1_Desulfobulbaceae_bacterium_nTSbin18,Desulfobulbaceae_bacterium_nTSbin18,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,86.03,0.35,True,225,3405799,45.02,24782,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__JADGBM01;s__JADGBM01 sp015231515
GCA_015231535.1,GCA_015231535.1_SAR324_cluster_bacterium_nTSbin10,SAR324_cluster_bacterium_nTSbin10,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,95.67,0.54,True,344,5756581,44.87,28409,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__JADFZZ01;g__JADFZZ01;s__JADFZZ01 sp015232315
GCA_015231595.1,GCA_015231595.1_Desulfobacterales_bacterium_nTSbin1,Desulfobacterales_bacterium_nTSbin1,Mars_lake_analog,brackish,"China: Tuosu Lake, Qinghai",37.197953,96.868083,Scaffold,Illumina HiSeq,99.32,1.54,True,210,5131725,32.05,47251,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__JADGBH01;g__JADGBH01;s__JADGBH01 sp015231595
GCA_015231605.1,GCA_015231605.1_Alphaproteobacteria_bacterium_nSSYDbin4,Alphaproteobacteria_bacterium_nSSYDbin4,Mars_lake_analog,brackish,"China: Shuishangyadan, Qinghai",37.624414,93.733812,Scaffold,Illumina HiSeq,97.34,0.7,True,213,3182839,63.34,25241,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Magnetovibrionaceae;g__JADGBG01;s__JADGBG01 sp015231605
GCA_015231615.1,GCA_015231615.1_Desulfamplus_sp._nS315bin44,Desulfamplus_sp._nS315bin44,Mars_lake_analog,brackish,China: Lake Qinghai,38.229771,90.697681,Scaffold,Illumina HiSeq,83.25,1.78,True,200,3860279,36.17,49168,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015231615
GCA_015231655.1,GCA_015231655.1_Desulfamplus_sp._nS315bin9,Desulfamplus_sp._nS315bin9,Mars_lake_analog,brackish,China: Lake Qinghai,38.229771,90.697681,Scaffold,Illumina HiSeq,85.19,1.71,True,195,3171500,37.59,28298,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015232465
GCA_015231705.1,GCA_015231705.1_Desulfamplus_sp._nS315bin3,Desulfamplus_sp._nS315bin3,Mars_lake_analog,brackish,China: Lake Qinghai,38.229771,90.697681,Scaffold,Illumina HiSeq,75.22,0.41,True,282,3601353,40.67,19749,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus sp015231705
GCA_015231755.1,GCA_015231755.1_Magnetococcales_bacterium_nQXH2bin5,Magnetococcales_bacterium_nQXH2bin5,Mars_lake_analog,freshwater,China: Innermogolia,47.69541,119.30422,Scaffold,Illumina HiSeq,98.4,1.22,True,44,3842963,59.16,133818,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015231755
GCA_015231775.1,GCA_015231775.1_Magnetococcales_bacterium_nQXH2bin1,Magnetococcales_bacterium_nQXH2bin1,Mars_lake_analog,freshwater,China: Innermogolia,47.69541,119.30422,Scaffold,Illumina HiSeq,86.32,0.37,True,389,3820765,61.35,19017,d__Bacteria;p__Pseudomonadota;c__Magnetococcia;o__Magnetococcales;f__Magnetaquicoccaceae;g__JAANAU01;s__JAANAU01 sp015231775
GCA_015231795.1,GCA_015231795.1_Alphaproteobacteria_bacterium_nQXH1bin1,Alphaproteobacteria_bacterium_nQXH1bin1,Mars_lake_analog,freshwater,China: Innermogolia,47.74777,119.33694,Contig,Illumina HiSeq,100.0,0.56,True,23,3628312,59.95,458012,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__WMHbin7;g__WMHbin7;s__WMHbin7 sp015231795
GCA_015231815.1,GCA_015231815.1_Nitrospinae_bacterium_nPCRbin9,Nitrospinota_bacterium_nPCRbin9,Mars_lake_analog,brackish,Australia: Punkally Creek,-36.23413,150.06798,Scaffold,Illumina HiSeq,78.43,1.8,True,410,2645008,37.05,7923,d__Bacteria;p__Nitrospinota;c__JADGAW01;o__JADGAW01;f__JADGAW01;g__JADGAW01;s__JADGAW01 sp015231815
GCA_015231825.1,GCA_015231825.1_SAR324_cluster_bacterium_nPCRbin7,SAR324_cluster_bacterium_nPCRbin7,Mars_lake_analog,brackish,Australia: Punkally Creek,-36.23413,150.06798,Scaffold,Illumina HiSeq,98.32,2.5,True,81,5795165,44.77,123521,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__GCA-2753255;g__JADGAV01;s__JADGAV01 sp015231825
GCA_015231855.1,GCA_015231855.1_Zetaproteobacteria_bacterium_nPCbin1,Zetaproteobacteria_bacterium_nPCbin1,Mars_lake_analog,brackish,Australia: Painkalac Creek,-38.46575,144.09288,Scaffold,Illumina HiSeq,99.75,0.12,True,68,2016854,47.46,56539,d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__GCA-2753275;s__GCA-2753275 sp002753275
GCA_015231865.1,GCA_015231865.1_Gammaproteobacteria_bacterium_nPCRbin5,Gammaproteobacteria_bacterium_nPCRbin5,Mars_lake_analog,brackish,Australia: Punkally Creek,-36.23413,150.06798,Contig,Illumina HiSeq,95.35,0.44,True,299,3543812,34.87,21360,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GRL18;f__GRL18;g__JADGAU01;s__JADGAU01 sp015231865
